variable,trait,model_no,statistic,value
t_half,series,8,hdi_95_lower,12.26037183437142
t_half,series,8,hdi_95_upper,25.266858870780045
tau,series,8,median,0.59391248
tau,series,8,hdi_95_lower,0.5436673490016067
tau,series,8,hdi_95_upper,0.6441172090087537
looic,series,8,Estimate,3343.879594328057
looic,series,8,SE,77.35892434354592
V,series,9,median,1.2719923
V,series,9,hdi_95_lower,0.9915580320888046
V,series,9,hdi_95_upper,1.592828804437026
mu,series,9,median,3.15784485
mu,series,9,hdi_95_lower,2.8602467978401402
mu,series,9,hdi_95_upper,3.47965239839061
t_half,series,9,median,17.9538655
t_half,series,9,hdi_95_lower,11.982184817554245
t_half,series,9,hdi_95_upper,24.918223978799006
tau,series,9,median,0.586961005
tau,series,9,hdi_95_lower,0.5346449198705256
tau,series,9,hdi_95_upper,0.6368666399590768
looic,series,9,Estimate,3347.221473546227
looic,series,9,SE,78.96172587152438
V,series,10,median,1.2853648
V,series,10,hdi_95_lower,1.0179701008408728
V,series,10,hdi_95_upper,1.6008053047081696
mu,series,10,median,3.1416939
mu,series,10,hdi_95_lower,2.8599911943810414
mu,series,10,hdi_95_upper,3.4453642988767705
t_half,series,10,median,16.97567
t_half,series,10,hdi_95_lower,11.25018490855368
t_half,series,10,hdi_95_upper,23.44705598525435
tau,series,10,median,0.57194294
tau,series,10,hdi_95_lower,0.5210855093792851
tau,series,10,hdi_95_upper,0.6211249099746469
looic,series,10,Estimate,3338.1151089814534
looic,series,10,SE,79.11592209590441
V,series,11,median,1.277245
V,series,11,hdi_95_lower,1.0085362002991793
V,series,11,hdi_95_upper,1.6049281015013295
mu,series,11,median,3.16934515
mu,series,11,hdi_95_lower,2.8747574961389804
mu,series,11,hdi_95_upper,3.4820763988198835
t_half,series,11,median,17.9787345
t_half,series,11,hdi_95_lower,12.00262708176058
t_half,series,11,hdi_95_upper,25.413894262833484
tau,series,11,median,0.584426595
tau,series,11,hdi_95_lower,0.5302493986269836
tau,series,11,hdi_95_upper,0.6368113394821583
looic,series,11,Estimate,3343.588948415035
looic,series,11,SE,78.92684560080649
V,series,12,median,1.3517876
V,series,12,hdi_95_lower,1.0246833989398099
V,series,12,hdi_95_upper,1.729584299398112
mu,series,12,median,3.2169126
mu,series,12,hdi_95_lower,2.9058514137451272
mu,series,12,hdi_95_upper,3.5844825222214087
t_half,series,12,median,20.9405705
t_half,series,12,hdi_95_lower,13.263731832280586
t_half,series,12,hdi_95_upper,30.536162875318183
tau,series,12,median,0.5944286999999999
tau,series,12,hdi_95_lower,0.5449304197545362
tau,series,12,hdi_95_upper,0.6462464698903289
looic,series,12,Estimate,3350.156029263026
looic,series,12,SE,78.99534508869053
