Glottocode,Inventory
sout2750,1027
sout2770,2999
sout2771,3000
sout2774,734
sout2789,688
sout2790,1548
sout2795,1490
sout2807,1017
sout2828,1292
sout2832,2168
sout2833,1309
sout2840,1194
sout2844,993
sout2856,1015
sout2895,1061
sout2918,1667
sout2949,411
sout2956,353
sout2965,449
sout2982,89
sout2985,547
sout2991,104
sout2994,480
spit1240,2369
spok1245,1016
squa1248,68
stan1288,2303
stan1289,2425
stan1290,2269
stan1293,2177
stan1295,2398
stan1306,2223
stan1318,2157
stan1325,2493
stod1241,2264
suba1252,1645
subi1246,1202
suda1236,659
suen1241,558
suga1248,1317
suii1243,2605
suku1261,1568
sumb1240,1639
sumi1235,2211
sund1252,35
suri1267,1209
surs1246,1174
suru1262,2103
suru1263,1850
susu1250,822
suya1243,1974
svan1243,2392
swah1253,823
swed1254,2554
swis1247,2272
sydn1236,2985
taba1266,85
taca1256,583
tach1250,2229
tada1238,1372
taga1270,1666
tagw1240,1041
taha1241,575
taid1248,2582
taid1249,2471
tain1252,2572
taji1245,2266
talo1250,580
tama1331,581
tama1365,825
tami1289,1058
tamn1235,582
tamp1252,586
tana1290,1168
tang1336,1789
tani1257,2062
tapi1253,2104
tapi1254,2105
tari1256,1831
taro1263,826
taro1264,1001
tase1235,1790
tata1255,2609
tata1257,1066
tatu1247,1040
taus1251,2212
taus1253,1936
tawa1286,824
teda1241,828
tedi1235,293
teee1242,1386
teen1242,827
tehu1242,1908
teke1280,415
tele1256,55
telu1262,2387
temb1276,2106
temi1246,2563
temm1241,829
tena1240,2041
teng1272,1700
tenh1241,2107
tepo1239,757
tera1251,2214
tere1279,1832
tern1247,1044
ters1235,2494
tese1238,1426
tetu1245,1680
tewa1260,93
texi1237,1136
thad1238,1792
thai1261,2215
thak1245,2294
thay1248,2881
thay1249,2923
thii1234,2746
thul1246,1220
thur1254,2993
tiag1235,1528
tibe1272,2380
ticu1245,1937
tiey1235,1450
tiga1245,572
tigo1236,1630
tigr1270,576
tigr1271,1350
tika1246,832
tilq1235,1056
timn1235,2213
tini1245,1938
tinp1237,1170
tira1254,1375
tiru1241,578
tivv1240,1331
tiwi1244,577
tlac1235,1158
tlin1245,579
toar1246,589
toba1269,1919
toca1235,2074
toch1257,1429
toda1252,1793
tofi1235,830
toho1245,96
toll1241,382
tolo1259,1069
tong1318,1328
tong1325,1086
tonk1249,590
topo1242,833
toro1252,699
torw1241,1219
tosk1239,2592
tote1238,1203
toto1305,472
tour1242,834
trin1274,2155
trio1238,1884
trum1247,1939
tsam1247,1608
tsha1245,2280
tsot1241,1441
tsou1248,593
tsuv1239,1653
tuca1252,2064
tuka1248,1152
tuki1240,1573
tuli1249,1416
tulu1258,2547
tumt1243,1663
tune1261,1265
tuni1251,1649
tuni1252,80
tupa1250,2108
tupi1273,2109
tupu1244,1345
turk1304,2595
tuuu1240,2556
tuvi1240,1225
tuyu1244,2065
twee1234,248
tyan1235,2911
tzel1254,600
tzot1259,1079
tzut1248,1223
ucay1237,1810
udih1248,2570
udmu1245,2536
uduk1239,1485
uigh1240,2612
ukra1253,2503
ulku1238,2924
ulwa1239,1019
umbu1235,2644
umbu1256,2929
umbu1257,1268
umii1236,3011
umot1240,1975
umpi1239,2902
unam1242,73
ungg1243,3012
uppe1395,2541
uppe1400,2232
uppe1439,283
uppe1455,1553
ural1274,1796
urar1246,1940
urdu1245,2466
urii1240,983
urni1239,2650
urub1250,2088
urue1240,2110
uruu1244,2127
usan1239,616
usar1243,870
utes1238,1084
vaag1238,1798
vach1239,2434
vagl1239,836
vaii1241,1034
vame1236,1595
vani1248,604
varl1238,2404
veng1238,661
veps1250,2490
viet1252,2233
vile1241,1941
vlax1238,2228
voti1245,2326
vute1244,837
waal1238,2716
waam1244,838
wadi1260,2781
wadi1261,2969
wadj1254,2636
waga1260,2947
wage1238,3006
waim1251,529
waim1253,1885
waim1255,2066
waiw1244,1886
waja1257,2771
waju1234,2871
waka1274,2944
wakh1245,2514
wala1263,2907
walm1241,2859
walu1241,2527
wamb1258,2690
wamb1259,1029
wame1240,290
wami1239,2926
wand1263,2680
wand1278,1585
wane1241,2589
wang1288,2955
wang1289,2764
wang1290,2762
wang1291,2721
wanm1242,2957
wann1242,839
want1252,615
wany1244,2852
wany1247,2646
waor1240,232
wapi1253,608
wapp1239,607
wara1290,2664
wara1303,1943
ward1246,3015
ward1248,2870
wari1262,2747
wari1266,619
wari1268,1890
warl1254,2861
warl1255,2860
warl1256,2948
warr1255,2733
warr1257,2718
warr1258,2694
waru1264,2820
waru1265,2951
wash1253,1030
wath1238,2776
waur1244,1835
wawa1246,1647
waya1269,1887
waya1270,2112
wayi1238,2722
wayu1241,2396
wayu1243,1836
wehh1238,1415
wels1247,2406
wemb1241,2786
weno1238,840
werg1234,3019
west2354,2470
west2368,2345
west2369,2520
west2392,2273
west2397,262
west2408,2538
west2437,3018
west2441,2710
west2442,2704
west2443,2988
west2450,766
west2454,715
west2456,1280
west2458,1308
west2466,743
west2500,776
west2560,1081
west2600,469
west2632,413
west2644,294
wich1260,74
wich1264,1984
wikm1247,2896
wikn1245,2897
wikn1246,2899
wint1259,613
wira1262,2723
wira1265,2934
wirr1237,2724
wiyo1248,614
woge1237,1032
woiw1237,2777
wola1242,1364
wong1246,2760
wong1247,1340
wori1245,2989
worr1237,3013
wotj1234,2787
woun1238,1900
wuch1236,17
wulg1239,2863
wuli1242,2945
wuna1249,3010
wurr1238,2668
wuzl1236,1635
wymy1235,2330
xamt1239,1333
xava1240,1976
xere1240,1977
xeta1241,2113
xhos1239,1319
xing1248,2073
xipa1240,2114
xiri1243,1837
xokl1240,1978
xwel1235,1279
yaba1248,1888
yadh1237,2920
yaga1260,632
yaga1262,2730
yagn1238,2418
yagu1244,2019
yaku1245,2444
yala1262,2740
yala1263,1288
yalu1240,895
yama1264,1944
yamb1251,842
yamb1252,843
yame1242,2020
yami1256,2012
yana1271,635
yand1251,2738
yand1253,2754
yane1238,112
yang1288,3016
yank1247,2965
yann1237,2978
yano1261,2135
yano1262,2134
yans1239,1335
yany1243,379
yaoo1241,1267
yaou1238,844
yape1248,1024
yaqu1251,629
yard1234,2970
yare1248,637
yari1243,2778
yaro1235,2150
yavi1244,1839
yawa1258,2756
yawa1260,2017
yawa1261,1840
yawi1239,3014
yawu1244,2696
yayg1236,2736
yekh1238,1110
yemb1246,845
yems1235,1479
yeru1240,1800
yess1239,639
yeyi1239,853
yidi1250,633
yill1241,979
yind1247,2850
yine1238,1153
ying1247,2772
yinh1234,2842
yinw1236,2921
yiry1245,2925
yith1234,2796
yomm1242,846
yong1270,2267
yora1241,2018
yort1237,2980
yoru1245,848
yuca1254,640
yuch1247,1074
yucu1253,1842
yuec1235,2309
yuga1244,2983
yugu1249,2712
yuhu1238,1993
yuki1243,1023
yukp1241,2154
yulp1239,2956
yulu1243,643
yuqu1240,2117
yura1255,1945
yuro1248,1025
yuru1263,2067
yuwa1242,2725
yuwa1243,2726
yuwa1244,2120
zagh1240,1509
zaiw1241,1229
zand1248,849
zapa1253,2141
zarm1239,850
zays1236,1480
zayy1238,1510
zhon1235,2420
zinz1238,1640
zoee1240,2115
zoog1238,1059
zulg1242,851
zulu1248,147
zuni1245,648
