"","series_markedness_fullness"
"korr1238",3.39254229512434
"koru1247",7.1794166757386
"kory1246",5.13108995781799
"kosh1246",7.47879093992882
"kota1263",4.11766272997775
"kota1272",8.09276637555975
"koya1251",3.43397296761103
"koya1253",8.52137312063052
"koyr1240",3.94579925201551
"koyr1242",3.76061285217064
"kpan1246",6.91884292398935
"krac1238",9.01027384287266
"kren1239",4.79668839609447
"kris1246",8.56661296222792
"kron1241",4.32803581164121
"kuan1247",7.87721893337859
"kuii1252",3.37149258552962
"kuik1246",6.35934714124471
"kuka1246",8.29980038423723
"kuku1273",7.58270175077419
"kulu1253",3.22532707265889
"kuma1273",5.4349686808945
"kumb1268",9.6123173222615
"kumi1248",6.47879537051039
"kumy1244",2.9673208380875
"kumz1235",6.30984466863162
"kung1258",9.26581902121657
"kung1261",3.35988423412966
"kuni1267",4.6135703855745
"kuni1268",1.8324772382735
"kunj1245",9.70697293498197
"kuny1238",7.6921284741213
"kuoo1238",7.79479485009731
"kups1238",8.36920614401619
"kura1250",7.77598313287007
"kuri1259",8.36303028357981
"kurr1243",8.20026100804749
"kurt1248",5.00138064586986
"kuru1302",4.52557314383513
"kusa1250",7.65379175891308
"kute1248",6.42151410764097
"kuuk1238",8.81906370142215
"kuvi1243",3.54170180855515
"kuwa1246",8.27459385397446
"kwai1243",1.65582285847524
"kwak1269",2.86344093123827
"kwam1249",9.03630397273053
"kwam1250",8.85230408057227
"kwam1251",8.55448108174812
"kwan1273",7.80201921119267
"kwan1276",8.3166301942875
"kway1241",7.83213131345227
"kwes1244",8.00446729968252
"kwin1241",6.97226526133964
"kwom1262",6.36670381727745
"kyen1242",8.77587685391271
"kyer1238",5.22511963719326
"lada1244",4.58656639252526
"lagw1237",4.15940823508399
"lahu1253",2.5698694917893
"lakk1238",5.84278132597531
"lakk1252",4.0154132114156
"lako1244",8.01406515104143
"lako1247",4.70688143166735
"lama1275",7.69784814915222
"lama1288",4.9353971909003
"lamb1269",5.1203320895873
"lamb1276",5.01421541970411
"lamn1239",8.13464466214363
"lamu1254",9.91451917700472
"lang1320",7.84398711725143
"lang1322",9.43533352118713
"lang1324",8.95118825309762
"laoo1244",6.9624804100304
"lard1243",6.22626022540841
"latu1238",5.18646534451403
"lave1249",5.04254657879781
"lazz1240",3.95560286332058
"leal1235",4.16720924602051
