variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
y_rep[957],36.97092002455845,0.6281553049999999,414.60790872730314,0.9164014618667999,0.003615571030000002,80.75602099999993,0.999971598686197,8750.58812872419,7878.063131077792
y_rep[958],8.103570767557729,0.176791845,113.61998425629274,0.25753766928519,5.704682490000003e-4,18.63330819999997,0.9999215662233862,8342.133646958535,8227.406926511185
y_rep[959],16.138670602790622,0.22413327,449.3574779781966,0.32625929422779,0.0010328337500000006,22.834641249999954,1.0003410617335815,8695.126695196741,8037.8373859279845
y_rep[960],11.518282702512955,0.153676635,244.7453529488859,0.22400871691296,4.860656775e-4,17.658918799999963,1.0004511393969724,8857.02086544068,8017.811383298454
y_rep[961],14.98019173097375,0.29205421,205.50904615594573,0.4241717251575299,0.0016478766450000004,29.219724499999874,1.0003082358560156,8455.693554482341,8123.996476063135
y_rep[962],12.629198246458582,0.270898085,168.91969939847044,0.39379956095487,0.0017187642350000006,29.44339629999998,0.9999521963149638,8445.946751303412,7759.412399653547
y_rep[963],14.37683052292614,0.282117915,167.4280816824187,0.40977638821097995,0.0016702809100000004,34.91504864999922,0.9997592072127912,8286.366535173687,8260.249838741702
y_rep[964],14.001743491973626,0.291695375,163.527226062475,0.42302138945744994,0.0016854581000000004,29.960003899999872,1.00016809869211,8719.269485304987,7756.963478950662
y_rep[965],45.52888607099057,0.58036708,1314.1167249706227,0.8449782091043999,0.0038577262650000004,70.04512174999918,1.0002294982129871,8877.53503978532,7794.366739505865
y_rep[966],81.95918173311988,0.614407615,2390.6817067184134,0.8938225965731998,0.004125343485000002,67.54104784999998,0.9999118884923596,8659.769878745212,7994.732751771351
y_rep[967],25.23622368973035,0.45292107,243.9824163129614,0.6596115615360599,0.00270168472,58.02340604999998,0.9999930088250033,8605.294126402592,7701.807758428593
y_rep[968],47.97738649462175,0.9661720899999999,468.61661989047343,1.4017555247660998,0.007122753690000001,119.64684299999976,1.000171406050542,8638.727455332742,7259.39455062139
y_rep[969],40.060136338675896,1.03027945,293.5011274883436,1.4945088562551,0.008675922665,110.43908799999987,1.000085832213152,8900.811317195248,7748.940138227193
y_rep[970],44.21753331808975,1.0399958,394.0087037397215,1.5041401060664998,0.009323653040000001,121.04620099999914,0.9999495368536342,8096.971765291929,7678.194007992523
y_rep[971],49.19744404923168,0.98757542,536.2635538062567,1.4289781608689998,0.008530457455000001,101.11769849999972,1.0001569720834846,7712.369332370146,7651.993083388643
y_rep[972],67.04336399552348,1.0332174,1301.0852922253673,1.4928828888350998,0.009048706685000001,106.25007199999949,1.0002709688120803,7882.113640196922,7692.643938216782
y_rep[973],56.744384355446634,0.9371777750000001,705.6786228816572,1.3614273429225,0.0074305607800000005,106.38311049999993,1.0001837613843565,8672.417015607,7749.534472616634
y_rep[974],36.867849296710006,0.92669932,359.0620869731264,1.3427710621311,0.008370032030000002,95.98771034999974,0.9999208368780241,8291.793838719575,8053.69839220409
y_rep[975],68.5125930761521,1.0299669,1669.3769108710164,1.4912417499692998,0.008232951245,114.59138999999992,0.9998418742371574,7808.120630462952,7885.272635990815
y_rep[976],58.98846788242235,0.91504555,1842.6026729033006,1.3269072013596,0.007561048765000007,93.78486644999967,1.0000229340742341,8775.978024482509,8185.124102446865
y_rep[977],53.845106396576185,0.751958035,941.1512898726037,1.0897797874509,0.005610010375,92.22448114999995,0.99989981887883,7879.352760651911,7249.435141917997
y_rep[978],34.22112350982791,0.73832941,552.2716266005459,1.0703951215881,0.006040908175000004,86.88376399999919,0.9998461186087291,8423.975764098603,7931.831966721713
y_rep[979],3.7464284339952174,0.058631261500000004,55.92929237853366,0.0868114113348825,-5.9594261e-4,7.268187169999995,1.0004259525608779,8034.5166545726925,8052.767262209073
y_rep[980],3.2584624038753245,0.0479673645,42.31959772388858,0.07111138981565891,-6.425765675e-4,5.945848374999992,0.9999928345436231,8797.966289593438,7861.821450204273
y_rep[981],3.813472968754405,0.0481359585,94.90730189209489,0.0714008457964221,-6.004843865e-4,6.184934629999963,1.0001596342808883,8254.29958044289,7926.812157165768
y_rep[982],7.516626289361545,0.103563335,250.67694624201954,0.15130438915011002,5.100529170001838e-7,12.413857449999973,1.0002753852138204,8657.037129725539,8013.702874820887
y_rep[983],4.91646555752015,0.0912507115,59.81796092652021,0.13320553289672998,-1.8072620599999832e-5,11.028058399999992,1.0000385172190094,8244.128015790951,7753.306018480291
y_rep[984],3.9627229872798697,0.049252343000000004,104.1227456955023,0.072583266222936,-5.197860439999998e-4,5.671018244999988,1.0008070210954303,8855.822446643238,7924.790919396597
y_rep[985],3.2803480826607503,0.06206721799999999,60.794442574389194,0.091217002613562,-3.272296444999999e-4,6.52015128499999,0.9999869696286915,8890.290945821878,7636.728971764123
