variable,trait,model_no,statistic,value
t_half,series,8,median,18.331299
t_half,series,8,hdi_95_lower,12.612580001590498
t_half,series,8,hdi_95_upper,25.606046034754097
tau,series,8,median,0.5928491650000001
tau,series,8,hdi_95_lower,0.5425022796291867
tau,series,8,hdi_95_upper,0.6433297097399712
looic,series,8,Estimate,3350.721269383266
looic,series,8,SE,78.83575899035941
V,series,9,median,1.26868015
V,series,9,hdi_95_lower,1.0018907052178354
V,series,9,hdi_95_upper,1.5889369143455674
mu,series,9,median,3.1666670999999997
mu,series,9,hdi_95_lower,2.8788670935166834
mu,series,9,hdi_95_upper,3.470321198946461
t_half,series,9,median,18.0362765
t_half,series,9,hdi_95_lower,12.186629013564724
t_half,series,9,hdi_95_upper,25.13708603381481
tau,series,9,median,0.5874215700000001
tau,series,9,hdi_95_lower,0.5371454472242074
tau,series,9,hdi_95_upper,0.638180427452349
looic,series,9,Estimate,3342.277698045872
looic,series,9,SE,77.9414061215025
V,series,10,median,1.293262
V,series,10,hdi_95_lower,1.026876500405914
V,series,10,hdi_95_upper,1.615640800633743
mu,series,10,median,3.1443475999999997
mu,series,10,hdi_95_lower,2.8517641009565966
mu,series,10,hdi_95_upper,3.4502124028268084
t_half,series,10,median,17.007140999999997
t_half,series,10,hdi_95_lower,11.067804705370905
t_half,series,10,hdi_95_upper,23.469975843788433
tau,series,10,median,0.570451035
tau,series,10,hdi_95_lower,0.5190865304120079
tau,series,10,hdi_95_upper,0.6233842813257605
looic,series,10,Estimate,3331.652143228076
looic,series,10,SE,79.47295606554043
V,series,11,median,1.27425305
V,series,11,hdi_95_lower,1.0085150047777562
V,series,11,hdi_95_upper,1.602255906166315
mu,series,11,median,3.1633746499999997
mu,series,11,hdi_95_lower,2.8845420917424573
mu,series,11,hdi_95_upper,3.4822917949698264
t_half,series,11,median,17.741879
t_half,series,11,hdi_95_lower,11.8326490102566
t_half,series,11,hdi_95_upper,24.680987012509185
tau,series,11,median,0.5839114599999999
tau,series,11,hdi_95_lower,0.5313027774308525
tau,series,11,hdi_95_upper,0.6387295199656506
looic,series,11,Estimate,3339.082009650464
looic,series,11,SE,78.29898856581424
V,series,12,median,1.3532623
V,series,12,hdi_95_lower,1.0280692831501368
V,series,12,hdi_95_upper,1.7278259971914172
mu,series,12,median,3.2116480999999997
mu,series,12,hdi_95_lower,2.8794254021691827
mu,series,12,hdi_95_upper,3.564422808351305
t_half,series,12,median,20.999629
t_half,series,12,hdi_95_lower,13.332273750459906
t_half,series,12,hdi_95_upper,30.860486968464713
tau,series,12,median,0.59384002
tau,series,12,hdi_95_lower,0.5430124601953241
tau,series,12,hdi_95_upper,0.6455379526898319
looic,series,12,Estimate,3354.477464144022
looic,series,12,SE,79.65424511712547
